Período,Empleo,Var. %  interanual,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Fuente,TipoSerie,Var. % Trimestral,Var. % interanual,"Agricultura, ganadería y pesca",Minería y petróleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total ,Minería y petróleo (3),"Electricidad, gas y agua (3)"
4º Trim 2014,6479829.0,0.004335807298831096,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2015,6558565.0,0.015152767484724494,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2015,6569181.0,0.02611547346996801,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2015,6588701.0,0.028635424851642055,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2015,6616914.0,0.021155650866712783,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2016,6613396.0,0.008360212942922773,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2016,6525236.0,-0.006689570587261939,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2016,6500682.0,-0.013359082465572492,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2016,6557746.0,-0.00894193274991939,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2017,6616572.0,0.00048023738484737066,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2017,6571413.0,0.007076678912456114,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2017,6596346.0,0.014715994414124633,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2017,6674769.0,0.017845003450880803,,,,,C1.1,Total,,,,,,,,,,,,
1º Trim 2018,6720758.0,0.015746220248188836,,,,,C1.1,Total,,,,,,,,,,,,
2º Trim 2018,6647908.0,0.011640571061353189,,,,,C1.1,Total,,,,,,,,,,,,
3º Trim 2018,6585870.0,-0.001588151985963182,,,,,C1.1,Total,,,,,,,,,,,,
4º Trim 2018,6568160.0,-0.015971938504538485,,,,,C1.1,Total,,,,,,,,,,,,
