Período,Empleo,Var. %  interanual,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Fuente,Var. % Trimestral,Var. % interanual,"Agricultura, ganadería y pesca",Minería y petróleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total ,Minería y petróleo (3),"Electricidad, gas y agua (3)"
4º Trim 1999,,,,,,,C2.1,,,253928.0,35754.0,882374.0,49200.0,260113.0,620054.0,1923576.0,4024999.0,,
1º Trim 2000,,,,,,,C2.1,,,267916.0,36584.0,876787.0,48749.0,244685.0,625346.0,1926806.0,4026873.0,,
2º Trim 2000,,,,,,,C2.1,,,258186.0,36922.0,858663.0,48886.0,226359.0,619489.0,1919905.0,3968410.0,,
3º Trim 2000,,,,,,,C2.1,,,254156.0,36911.0,850289.0,48376.0,223959.0,623845.0,1932962.0,3970498.0,,
4º Trim 2000,,,,,,,C2.1,,,254178.0,36694.0,848137.0,48906.0,230559.0,636292.0,1961859.0,4016625.0,,
1º Trim 2001,,,,,,,C2.1,,,269434.0,37775.0,845279.0,48923.0,227518.0,643317.0,1964040.0,4036286.0,,
2º Trim 2001,,,,,,,C2.1,,,264148.0,38308.0,829442.0,48808.0,217531.0,635707.0,1946721.0,3980665.0,,
3º Trim 2001,,,,,,,C2.1,,,248767.0,37431.0,807285.0,49064.0,199686.0,623654.0,1913737.0,3879624.0,,
4º Trim 2001,,,,,,,C2.1,,,239993.0,37022.0,781115.0,48668.0,179609.0,610612.0,1889119.0,3786138.0,,
1º Trim 2002,,,,,,,C2.1,,,248276.0,36216.0,744577.0,47792.0,137835.0,583308.0,1811262.0,3609266.0,,
2º Trim 2002,,,,,,,C2.1,,,244282.0,34791.0,730679.0,46131.0,118101.0,563763.0,1772673.0,3510420.0,,
3º Trim 2002,,,,,,,C2.1,,,239053.0,34535.0,725283.0,45970.0,114440.0,553954.0,1755356.0,3468591.0,,
4º Trim 2002,,,,,,,C2.1,,,239528.0,35399.0,733821.0,45880.0,123726.0,557661.0,1770680.0,3506695.0,,
1º Trim 2003,,,,,,,C2.1,,,259834.0,36765.0,757028.0,45893.0,136691.0,567939.0,1797996.0,3602146.0,,
2º Trim 2003,,,,,,,C2.1,,,262414.0,38136.0,773084.0,46068.0,148789.0,574004.0,1825367.0,3667862.0,,
3º Trim 2003,,,,,,,C2.1,,,259235.0,39320.0,796014.0,46363.0,163165.0,594536.0,1856806.0,3755439.0,,
4º Trim 2003,,,,,,,C2.1,,,261478.0,40422.0,824545.0,46505.0,181935.0,619348.0,1915591.0,3889824.0,,
1º Trim 2004,,,,,,,C2.1,,,285759.0,42352.0,857421.0,47501.0,194757.0,640982.0,1949071.0,4017843.0,,
2º Trim 2004,,,,,,,C2.1,,,288633.0,43406.0,874212.0,47906.0,204348.0,652563.0,1985488.0,4096556.0,,
3º Trim 2004,,,,,,,C2.1,,,284136.0,44799.0,896450.0,48228.0,218614.0,681825.0,2058158.0,4232210.0,,
4º Trim 2004,,,,,,,C2.1,,,287395.0,46536.0,924967.0,48760.0,239853.0,711745.0,2129161.0,4388417.0,,
1º Trim 2005,,,,,,,C2.1,,,312301.0,48254.0,950471.0,48924.0,260936.0,733127.0,2179904.0,4533917.0,,
2º Trim 2005,,,,,,,C2.1,,,314760.0,50610.0,967347.0,49560.0,282323.0,745844.0,2217117.0,4627561.0,,
3º Trim 2005,,,,,,,C2.1,,,305910.0,51466.0,983077.0,49638.0,302773.0,762952.0,2263896.0,4719712.0,,
4º Trim 2005,,,,,,,C2.1,,,311190.0,52684.0,1010893.0,50454.0,329801.0,791458.0,2344928.0,4891408.0,,
1º Trim 2014,,,,,,,C2.1,,,361895.0,85401.0,1289801.0,65802.0,420784.0,1134998.0,3101987.0,6460668.0,,
1º Trim 1996,,,,,,,C2.2,,,232639.0,,879184.0,,180367.0,517374.0,1509886.0,3396779.0,33052.0,44277.0
2º Trim 1996,,,,,,,C2.2,,,242491.0,,891385.0,,189698.0,529241.0,1542967.0,3474153.0,33732.0,44639.0
3º Trim 1996,,,,,,,C2.2,,,249134.0,,902474.0,,203180.0,540335.0,1577434.0,3551981.0,34170.0,45254.0
4º Trim 1996,,,,,,,C2.2,,,252904.0,,911309.0,,214158.0,550875.0,1610414.0,3620382.0,36234.0,44488.0
1º Trim 1997,,,,,,,C2.2,,,258669.0,,922718.0,,230678.0,561835.0,1647640.0,3701956.0,35707.0,44709.0
2º Trim 1997,,,,,,,C2.2,,,264534.0,,932990.0,,239487.0,572164.0,1690650.0,3781908.0,37067.0,45016.0
3º Trim 1997,,,,,,,C2.2,,,264027.0,,939155.0,,247076.0,585338.0,1738871.0,3859484.0,37630.0,47387.0
4º Trim 1997,,,,,,,C2.2,,,266014.0,,947558.0,,253540.0,598145.0,1795467.0,3946028.0,37678.0,47626.0
1º Trim 1998,,,,,,,C2.2,,,269185.0,,951315.0,,258858.0,608855.0,1855407.0,4030186.0,38583.0,47983.0
2º Trim 1998,,,,,,,C2.2,,,265681.0,,956459.0,,264097.0,619470.0,1886238.0,4079015.0,39071.0,47999.0
3º Trim 1998,,,,,,,C2.2,,,269052.0,,952915.0,,269982.0,625317.0,1911031.0,4116201.0,38891.0,49013.0
4º Trim 1998,,,,,,,C2.2,,,268584.0,,942017.0,,272748.0,627246.0,1914991.0,4111078.0,37144.0,48348.0
1º Trim 1999,,,,,,,C2.2,,,267287.0,,927447.0,,273798.0,625625.0,1903554.0,4081373.0,35422.0,48240.0
2º Trim 1999,,,,,,,C2.2,,,262509.0,,906991.0,,275245.0,623799.0,1909502.0,4061023.0,34764.0,48213.0
3º Trim 1999,,,,,,,C2.2,,,260012.0,,891410.0,,268682.0,619867.0,1909471.0,4033684.0,35002.0,49240.0
4º Trim 1999,,,,,,,C2.2,,,259609.0,,881395.0,,257315.0,618440.0,1915635.0,4017348.0,35754.0,49200.0
1º Trim 2000,,,,,,,C2.2,,,257866.0,,870730.0,,243810.0,621428.0,1921102.0,4000269.0,36584.0,48749.0
2º Trim 2000,,,,,,,C2.2,,,256675.0,,860039.0,,228861.0,621652.0,1925738.0,3978773.0,36922.0,48886.0
3º Trim 2000,,,,,,,C2.2,,,259430.0,,853801.0,,225146.0,627208.0,1940387.0,3991259.0,36911.0,48376.0
4º Trim 2000,,,,,,,C2.2,,,260309.0,,847806.0,,227756.0,634633.0,1954675.0,4010779.0,36694.0,48906.0
1º Trim 2001,,,,,,,C2.2,,,260409.0,,841703.0,,226631.0,639233.0,1958593.0,4013267.0,37775.0,48923.0
2º Trim 2001,,,,,,,C2.2,,,261667.0,,831163.0,,219911.0,638464.0,1951251.0,3989572.0,38308.0,48808.0
3º Trim 2001,,,,,,,C2.2,,,253363.0,,810476.0,,201028.0,626630.0,1921648.0,3899640.0,37431.0,49064.0
4º Trim 2001,,,,,,,C2.2,,,246397.0,,780497.0,,176946.0,608746.0,1882329.0,3780605.0,37022.0,48668.0
1º Trim 2002,,,,,,,C2.2,,,241293.0,,742936.0,,136811.0,580110.0,1805729.0,3590887.0,36216.0,47792.0
2º Trim 2002,,,,,,,C2.2,,,240467.0,,730873.0,,120219.0,566291.0,1776955.0,3515727.0,34791.0,46131.0
3º Trim 2002,,,,,,,C2.2,,,243267.0,,727944.0,,116005.0,556671.0,1763775.0,3488167.0,34535.0,45970.0
4º Trim 2002,,,,,,,C2.2,,,246500.0,,733289.0,,121228.0,555394.0,1763183.0,3500873.0,35399.0,45880.0
1º Trim 2003,,,,,,,C2.2,,,251870.0,,753643.0,,135608.0,563672.0,1792490.0,3579941.0,36765.0,45893.0
2º Trim 2003,,,,,,,C2.2,,,258422.0,,774804.0,,150515.0,577993.0,1829937.0,3675875.0,38136.0,46068.0
3º Trim 2003,,,,,,,C2.2,,,264238.0,,798892.0,,164952.0,597490.0,1866659.0,3777914.0,39320.0,46363.0
4º Trim 2003,,,,,,,C2.2,,,269246.0,,824058.0,,179694.0,616594.0,1905849.0,3882368.0,40422.0,46505.0
1º Trim 2004,,,,,,,C2.2,,,276723.0,,850723.0,,193823.0,636345.0,1943214.0,3990681.0,42352.0,47501.0
2º Trim 2004,,,,,,,C2.2,,,283998.0,,875809.0,,205431.0,656853.0,1991540.0,4104943.0,43406.0,47906.0
3º Trim 2004,,,,,,,C2.2,,,290449.0,,899609.0,,220463.0,685523.0,2069571.0,4258642.0,44799.0,48228.0
4º Trim 2004,,,,,,,C2.2,,,295437.0,,924376.0,,237893.0,708589.0,2117033.0,4378624.0,46536.0,48760.0
1º Trim 2005,,,,,,,C2.2,,,303059.0,,948588.0,,260520.0,728790.0,2172928.0,4511063.0,48254.0,48924.0
2º Trim 2005,,,,,,,C2.2,,,308787.0,,967181.0,,282590.0,749218.0,2224934.0,4632880.0,50610.0,49560.0
3º Trim 2005,,,,,,,C2.2,,,313863.0,,986367.0,,304533.0,767661.0,2277021.0,4750549.0,51466.0,49638.0
1º Trim 2014,,,,,,,C2.2,,,350319.0,,1286665.0,,425445.0,1124799.0,3083653.0,6422084.0,85401.0,65802.0
