Categoría,Período,Valor,Fuente,Codigo,DescripcionCompleta
D,2º Trim 2001,829442.0,C3,,
E,2º Trim 2001,48808.0,C3,,
F,2º Trim 2001,217531.0,C3,,
G,2º Trim 2001,635707.0,C3,,
H,2º Trim 2001,121706.0,C3,,
I,2º Trim 2001,357249.0,C3,,
J,2º Trim 2001,138165.0,C3,,
K,2º Trim 2001,598133.0,C3,,
M,2º Trim 2001,292117.0,C3,,
N,2º Trim 2001,181019.0,C3,,
O,2º Trim 2001,258332.0,C3,,
Total general,2º Trim 2001,3980665.0,C3,,
A,3º Trim 2001,238623.0,C3,,
B,3º Trim 2001,10144.0,C3,,
C,3º Trim 2001,37431.0,C3,,
D,3º Trim 2001,807285.0,C3,,
E,3º Trim 2001,49064.0,C3,,
F,3º Trim 2001,199686.0,C3,,
G,3º Trim 2001,623654.0,C3,,
H,3º Trim 2001,120308.0,C3,,
I,3º Trim 2001,349569.0,C3,,
J,3º Trim 2001,133890.0,C3,,
K,3º Trim 2001,582023.0,C3,,
M,3º Trim 2001,291844.0,C3,,
N,3º Trim 2001,180722.0,C3,,
O,3º Trim 2001,255381.0,C3,,
Total general,3º Trim 2001,3879624.0,C3,,
A,4º Trim 2001,229718.0,C3,,
B,4º Trim 2001,10275.0,C3,,
C,4º Trim 2001,37022.0,C3,,
D,4º Trim 2001,781115.0,C3,,
E,4º Trim 2001,48668.0,C3,,
F,4º Trim 2001,179609.0,C3,,
G,4º Trim 2001,610612.0,C3,,
H,4º Trim 2001,117899.0,C3,,
I,4º Trim 2001,342215.0,C3,,
J,4º Trim 2001,131902.0,C3,,
K,4º Trim 2001,575012.0,C3,,
M,4º Trim 2001,292355.0,C3,,
N,4º Trim 2001,179713.0,C3,,
O,4º Trim 2001,250023.0,C3,,
Total general,4º Trim 2001,3786138.0,C3,,
A,1º Trim 2002,236913.0,C3,,
B,1º Trim 2002,11363.0,C3,,
C,1º Trim 2002,36216.0,C3,,
D,1º Trim 2002,744577.0,C3,,
E,1º Trim 2002,47792.0,C3,,
F,1º Trim 2002,137835.0,C3,,
G,1º Trim 2002,583308.0,C3,,
H,1º Trim 2002,112559.0,C3,,
I,1º Trim 2002,331085.0,C3,,
J,1º Trim 2002,126784.0,C3,,
K,1º Trim 2002,544265.0,C3,,
M,1º Trim 2002,278458.0,C3,,
N,1º Trim 2002,177026.0,C3,,
O,1º Trim 2002,241085.0,C3,,
Total general,1º Trim 2002,3609266.0,C3,,
A,2º Trim 2002,231566.0,C3,,
B,2º Trim 2002,12716.0,C3,,
C,2º Trim 2002,34791.0,C3,,
D,2º Trim 2002,730679.0,C3,,
E,2º Trim 2002,46131.0,C3,,
F,2º Trim 2002,118101.0,C3,,
G,2º Trim 2002,563763.0,C3,,
H,2º Trim 2002,107687.0,C3,,
I,2º Trim 2002,322855.0,C3,,
J,2º Trim 2002,125466.0,C3,,
K,2º Trim 2002,521206.0,C3,,
M,2º Trim 2002,288167.0,C3,,
N,2º Trim 2002,173510.0,C3,,
O,2º Trim 2002,233782.0,C3,,
Total general,2º Trim 2002,3510420.0,C3,,
A,3º Trim 2002,226600.0,C3,,
B,3º Trim 2002,12453.0,C3,,
C,3º Trim 2002,34535.0,C3,,
D,3º Trim 2002,725283.0,C3,,
E,3º Trim 2002,45970.0,C3,,
F,3º Trim 2002,114440.0,C3,,
G,3º Trim 2002,553954.0,C3,,
H,3º Trim 2002,108878.0,C3,,
I,3º Trim 2002,318531.0,C3,,
J,3º Trim 2002,116773.0,C3,,
K,3º Trim 2002,515854.0,C3,,
M,3º Trim 2002,289490.0,C3,,
N,3º Trim 2002,171938.0,C3,,
O,3º Trim 2002,233892.0,C3,,
Total general,3º Trim 2002,3468591.0,C3,,
A,4º Trim 2002,226989.0,C3,,
B,4º Trim 2002,12539.0,C3,,
C,4º Trim 2002,35399.0,C3,,
D,4º Trim 2002,733821.0,C3,,
E,4º Trim 2002,45880.0,C3,,
F,4º Trim 2002,123726.0,C3,,
G,4º Trim 2002,557661.0,C3,,
H,4º Trim 2002,111494.0,C3,,
I,4º Trim 2002,318555.0,C3,,
J,4º Trim 2002,110821.0,C3,,
K,4º Trim 2002,528047.0,C3,,
M,4º Trim 2002,292664.0,C3,,
N,4º Trim 2002,172549.0,C3,,
O,4º Trim 2002,236550.0,C3,,
Total general,4º Trim 2002,3506695.0,C3,,
A,1º Trim 2003,246227.0,C3,,
B,1º Trim 2003,13607.0,C3,,
C,1º Trim 2003,36765.0,C3,,
D,1º Trim 2003,757028.0,C3,,
E,1º Trim 2003,45893.0,C3,,
F,1º Trim 2003,136691.0,C3,,
G,1º Trim 2003,567939.0,C3,,
H,1º Trim 2003,116580.0,C3,,
I,1º Trim 2003,322240.0,C3,,
J,1º Trim 2003,108314.0,C3,,
K,1º Trim 2003,551396.0,C3,,
M,1º Trim 2003,283221.0,C3,,
N,1º Trim 2003,172759.0,C3,,
O,1º Trim 2003,243486.0,C3,,
Total general,1º Trim 2003,3602146.0,C3,,
A,2º Trim 2003,247825.0,C3,,
B,2º Trim 2003,14589.0,C3,,
C,2º Trim 2003,38136.0,C3,,
D,2º Trim 2003,773084.0,C3,,
E,2º Trim 2003,46068.0,C3,,
F,2º Trim 2003,148789.0,C3,,
G,2º Trim 2003,574004.0,C3,,
H,2º Trim 2003,113496.0,C3,,
I,2º Trim 2003,325736.0,C3,,
J,2º Trim 2003,107503.0,C3,,
K,2º Trim 2003,561936.0,C3,,
M,2º Trim 2003,300572.0,C3,,
N,2º Trim 2003,172770.0,C3,,
O,2º Trim 2003,243354.0,C3,,
Total general,2º Trim 2003,3667862.0,C3,,
A,3º Trim 2003,246049.0,C3,,
B,3º Trim 2003,13186.0,C3,,
C,3º Trim 2003,39320.0,C3,,
D,3º Trim 2003,796014.0,C3,,
E,3º Trim 2003,46363.0,C3,,
F,3º Trim 2003,163165.0,C3,,
G,3º Trim 2003,594536.0,C3,,
H,3º Trim 2003,119249.0,C3,,
I,3º Trim 2003,328089.0,C3,,
J,3º Trim 2003,106491.0,C3,,
K,3º Trim 2003,575588.0,C3,,
M,3º Trim 2003,301088.0,C3,,
N,3º Trim 2003,175943.0,C3,,
O,3º Trim 2003,250358.0,C3,,
Total general,3º Trim 2003,3755439.0,C3,,
A,4º Trim 2003,247900.0,C3,,
B,4º Trim 2003,13578.0,C3,,
C,4º Trim 2003,40422.0,C3,,
D,4º Trim 2003,824545.0,C3,,
E,4º Trim 2003,46505.0,C3,,
F,4º Trim 2003,181935.0,C3,,
G,4º Trim 2003,619348.0,C3,,
H,4º Trim 2003,125039.0,C3,,
I,4º Trim 2003,334943.0,C3,,
J,4º Trim 2003,107216.0,C3,,
K,4º Trim 2003,605722.0,C3,,
M,4º Trim 2003,305900.0,C3,,
N,4º Trim 2003,178695.0,C3,,
O,4º Trim 2003,258076.0,C3,,
Total general,4º Trim 2003,3889824.0,C3,,
A,1º Trim 2004,270640.0,C3,,
B,1º Trim 2004,15119.0,C3,,
C,1º Trim 2004,42352.0,C3,,
D,1º Trim 2004,857421.0,C3,,
E,1º Trim 2004,47501.0,C3,,
F,1º Trim 2004,194757.0,C3,,
G,1º Trim 2004,640982.0,C3,,
H,1º Trim 2004,132837.0,C3,,
I,1º Trim 2004,331561.0,C3,,
J,1º Trim 2004,107769.0,C3,,
K,1º Trim 2004,634391.0,C3,,
M,1º Trim 2004,296056.0,C3,,
