Código,Descripción,Nivel,Tabla
634,Servicios de agencias de viaje y otras actividades complementarias de apoyo turístico,3 digitos,C6
635,Servicios de gestión y logística para el transporte de mercaderías,3 digitos,C6
641,Servicios de correos,3 digitos,C6
642,Servicios de telecomunicaciones,3 digitos,C6
652,Intermediación monetaria y financiera de las entidades financieras bancarias y no bancarias,3 digitos,C6
659,Servicios financieros excepto los de la banca central y las entidades financieras,3 digitos,C6
661,Servicios de seguros,3 digitos,C6
662,Servicios de administración de fondos de jubilaciones y pensiones,3 digitos,C6
671,Servicios auxiliares a la actividad financiera,3 digitos,C6
672,Servicios auxiliares a los servicios de seguros y AFJP,3 digitos,C6
701,"Servicios inmobiliarios realizados por cuenta propia, con bienes propios o arrendados",3 digitos,C6
702,Servicios inmobiliarios realizados a cambio de una retribución o por contrata,3 digitos,C6
711,Alquiler de equipo de transporte,3 digitos,C6
712,Alquiler de maquinaria y equipo n.c.p.,3 digitos,C6
713,Alquiler de efectos personales y enseres domésticos n.c.p.,3 digitos,C6
721,Servicios de consultores en equipo de informática,3 digitos,C6
722,Servicios de consultores en informática y suministros de programas de informática,3 digitos,C6
723,Procesamiento de datos,3 digitos,C6
724,Servicios relacionados con bases de datos,3 digitos,C6
725,"Mantenimiento y reparación de maquinaria de oficina, contabilidad e informática",3 digitos,C6
729,Actividades de informática n.c.p.,3 digitos,C6
730,Investigación y desarrollo experimental,3 digitos,C6
741,Servicios jurídicos y contables a empresas,3 digitos,C6
742,Servicios de arquitectura e ingeniería y servicios técnicos n.c.p.,3 digitos,C6
743,Servicios de publicidad,3 digitos,C6
749,Servicios empresariales n.c.p.,3 digitos,C6
750,Agencias de empleo eventual,3 digitos,C6
800,Enseñanza,3 digitos,C6
851,Servicios relacionados con la salud humana,3 digitos,C6
852,Servicios veterianrios,3 digitos,C6
853,Servicios sociales,3 digitos,C6
900,"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares",3 digitos,C6
910,Servicios de organizaciones sindicales y empresarias,3 digitos,C6
921,"Servicios de cinematografía, radio y televisión y servicios de espectáculos artísticos y de diversión n.c.p.",3 digitos,C6
922,Servicios de agencias de noticias,3 digitos,C6
923,"Servicios de bibliotecas, archivos y museos y  servicios culturales n.c.p.",3 digitos,C6
924,Servicios para la práctica deportiva y de entretenimiento n.c.p.,3 digitos,C6
930,Servicios n.c.p.,3 digitos,C6
111,"Cultivo de cereales, oleaginosas y forrajeras",4 digitos,C7
112,"Cultivo de hortalizas, legumbres, flores y plantas ornamentales",4 digitos,C7
113,Cultivo de frutas  -excepto vid para vinificar- y nueces,4 digitos,C7
114,"Cultivos industriales, de especias y de plantas aromáticas y medicinales",4 digitos,C7
115,Producción de semillas y otras formas de propagación de cultivos agrícolas,4 digitos,C7
121,"Cría de ganado y producción de leche , lana y pelos",4 digitos,C7
122,"Producción de granja y cría de animales, excepto ganado",4 digitos,C7
141,Servicios agrícolas,4 digitos,C7
142,"Servicios pecuarios, excepto los veterinarios",4 digitos,C7
150,"Caza  y captura de animales vivos, repoblación  de animales de caza y servicios conexos",4 digitos,C7
201,Silvicultura,4 digitos,C7
202,Extracción de productos forestales,4 digitos,C7
203,Servicios forestales,4 digitos,C7
501,Pesca y recolección de productos marinos,4 digitos,C7
502,"Explotación de criaderos de peces, granjas piscícolas y otros frutos acuáticos (acuicultura)",4 digitos,C7
503,Servicios para la pesca,4 digitos,C7
1110,Extracción de petróleo crudo y gas natural,4 digitos,C7
1120,"Actividades  de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección",4 digitos,C7
1310,Extracción de minerales de hierro,4 digitos,C7
1320,"Extracción de minerales metalíferos no ferrosos,  excepto minerales de uranio y torio",4 digitos,C7
1411,Extracción de rocas ornamentales,4 digitos,C7
1412,Extracción de piedra caliza y yeso,4 digitos,C7
1413,"Extracción de arenas, canto rodado y triturados pétreos",4 digitos,C7
1414,Extracción de arcilla y caolín,4 digitos,C7
1421,"Extracción de minerales para la fabricación de abonos y productos químicos, excepto turba",4 digitos,C7
1422,Extracción de sal en salinas y de roca,4 digitos,C7
1429,Explotación de minas y canteras n.c.p.,4 digitos,C7
1511,Producción y procesamiento de carne y productos cárnicos,4 digitos,C7
1512,Elaboración de pescado y productos de pescado,4 digitos,C7
1513,"Preparación de frutas, hortalizas y legumbres",4 digitos,C7
1514,Elaboración de aceites y grasas de origen vegetal,4 digitos,C7
1520,Elaboración de productos lácteos,4 digitos,C7
1531,Elaboración de productos de molinería,4 digitos,C7
1532,Elaboración de almidones y productos derivados del almidón,4 digitos,C7
1533,Elaboración de alimentos preparados para animales,4 digitos,C7
1541,Elaboración de productos de panadería,4 digitos,C7
1542,Elaboración de azúcar,4 digitos,C7
1543,Elaboración de cacao y chocolate y de productos de confitería,4 digitos,C7
1544,Elaboración de pastas alimenticias,4 digitos,C7
1549,Elaboración de productos alimenticios n.c.p.,4 digitos,C7
1551,"Destilación, rectificación y mezcla de bebidas alcohólicas; producción de alcohol etílico",4 digitos,C7
1552,Elaboración de vinos y otras bebidas fermentadas a partir de frutas,4 digitos,C7
1553,"Elaboración de cerveza, bebidas malteadas y de malta",4 digitos,C7
1554,Elaboración de bebidas no alcohólicas; producción de aguas minerales,4 digitos,C7
1600,Elaboración de productos de tabaco,4 digitos,C7
1711,Preparación e hilandería de fibras textiles; tejeduría de productos textiles,4 digitos,C7
1712,Acabado de productos textiles,4 digitos,C7
1721,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir",4 digitos,C7
1722,Fabricación de tapices y alfombras,4 digitos,C7
1723,"Fabricación de cuerdas, cordeles, bramantes y redes",4 digitos,C7
1729,Fabricación de productos textiles n.c.p.,4 digitos,C7
1730,Fabricación de tejidos de punto y artículos de punto y ganchillo,4 digitos,C7
1810,"Fabricación de prendas de vestir, inclusive de cuero",4 digitos,C7
1820,Terminación y teñido de pieles; fabricación de artículos de piel,4 digitos,C7
1911,Curtido y terminación de cueros,4 digitos,C7
1912,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y  artículos de cuero n.c.p.",4 digitos,C7
1920,Fabricación de calzado y de sus partes,4 digitos,C7
2010,Aserrado y cepillado de madera,4 digitos,C7
2021,"Fabricación de hojas de madera para enchapado; fabricación de tableros contrachapados, tableros laminados, tableros de partículas, y  tableros y paneles n.c.p.",4 digitos,C7
2022,Fabricación de partes y piezas de carpintería para edificios y construcciones,4 digitos,C7
2023,Fabricación de recipientes de madera,4 digitos,C7
2029,"Fabricación de productos de madera n.c.p.; fabricación de artículos de corcho, paja y materiales trenzables",4 digitos,C7
2101,"Fabricación de pasta de madera, papel y cartón",4 digitos,C7
2102,Fabricación de papel y cartón ondulado y envases de papel y cartón,4 digitos,C7
2109,Fabricación de  artículos de papel y cartón,4 digitos,C7
2211,"Edición de libros, folletos, partituras y otras publicaciones",4 digitos,C7
2212,"Edición de periódicos, revistas y publicaciones periódicas",4 digitos,C7
2213,Edición de grabaciones,4 digitos,C7
2219,Edición n.c.p.,4 digitos,C7
2221,Impresión,4 digitos,C7
2222,Servicios relacionados con la impresión,4 digitos,C7
2230,Reproducción de grabaciones,4 digitos,C7
2310,Fabricación de productos de hornos de coque,4 digitos,C7
2320,Fabricación de productos de la refinación del petróleo,4 digitos,C7
2330,Elaboración de combustible nuclear,4 digitos,C7
2411,"Fabricación de sustancias químicas básicas, excepto abonos y compuestos de nitrógeno",4 digitos,C7
2412,Fabricación de abonos y compuestos de nitrógeno,4 digitos,C7
2413,Fabricación de plásticos en formas primarias y de caucho sintético,4 digitos,C7
2421,Fabricación de plaguicidas y  productos químicos de uso agropecuario,4 digitos,C7
2422,Fabricación de pinturas; barnices y productos de revestimiento similares; tintas de imprenta y masillas,4 digitos,C7
2423,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos",4 digitos,C7
2424,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",4 digitos,C7
2429,Fabricación de productos químicos n.c.p.,4 digitos,C7
2430,Fabricación de fibras manufacturadas,4 digitos,C7
2511,Fabricación de cubiertas y cámaras de caucho; recauchutado y renovación de cubiertas de caucho,4 digitos,C7
2519,Fabricación de productos de caucho n.c.p.,4 digitos,C7
2520,Fabricación de productos de plástico,4 digitos,C7
2610,Fabricación de vidrio y productos de vidrio,4 digitos,C7
2691,Fabricación de productos de cerámica no refractaria para uso no estructural,4 digitos,C7
2692,Fabricación de productos de cerámica refractaria,4 digitos,C7
2693,Fabricación de productos de arcilla y cerámica no refractaria para uso estructural,4 digitos,C7
2694,"Elaboración de cemento, cal y yeso",4 digitos,C7
2695,"Fabricación de artículos de hormigón, cemento y yeso",4 digitos,C7
2696,"Corte, tallado y acabado de la piedra",4 digitos,C7
2699,Fabricación de productos minerales no metálicos n.c.p.,4 digitos,C7
2710,Industrias básicas de hierro y acero,4 digitos,C7
2720,Fabricación de productos primarios de metales preciosos y metales no ferrosos,4 digitos,C7
2731,Fundición de hierro y acero,4 digitos,C7
2732,Fundición de metales no ferrosos,4 digitos,C7
2811,Fabricación de productos metálicos para uso estructural y montaje estructural,4 digitos,C7
2812,"Fabricación de tanques, depósitos y recipientes de metal",4 digitos,C7
2813,Fabricación de generadores de vapor,4 digitos,C7
2891,"Forjado, prensado, estampado y laminado de metales; pulvimetalurgia",4 digitos,C7
2892,Tratamiento y revestimiento de metales; obras de ingeniería mecánica en general realizadas a cambio de una retribución o por contrata,4 digitos,C7
2893,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",4 digitos,C7
2899,Fabricación de productos elaborados de metal  n.c.p.,4 digitos,C7
2911,"Fabricación de motores y turbinas, excepto motores para aeronaves, vehículos automotores y motocicletas",4 digitos,C7
2912,Fabricación de bombas; compresores; grifos y válvulas,4 digitos,C7
2913,Fabricación de cojinetes; engranajes; trenes de engranaje y piezas de transmisión,4 digitos,C7
2914,Fabricación de hornos; hogares y quemadores,4 digitos,C7
2915,Fabricación de equipo de elevación y manipulación,4 digitos,C7
2919,Fabricación de  maquinaria de uso general n.c.p.,4 digitos,C7
2921,Fabricación de maquinaria agropecuaria,4 digitos,C7
2922,Fabricación de máquinas herramienta,4 digitos,C7
2923,Fabricación de maquinaria metalúrgica,4 digitos,C7
2924,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,4 digitos,C7
2925,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",4 digitos,C7
2926,"Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros",4 digitos,C7
2927,Fabricación de armas y municiones,4 digitos,C7
2929,Fabricación de maquinaria de uso especial n.c.p.,4 digitos,C7
2930,Fabricación de aparatos de uso doméstico n.c.p.,4 digitos,C7
3000,"Fabricación de maquinaria de oficina, contabilidad e informática",4 digitos,C7
3110,"Fabricación de motores, generadores y transformadores eléctricos",4 digitos,C7
3120,Fabricación de aparatos de distribución y control de la energía eléctrica,4 digitos,C7
3130,Fabricación de hilos y cables aislados,4 digitos,C7
3140,"Fabricación de acumuladores, pilas y baterías primarias",4 digitos,C7
3150,Fabricación de lámparas eléctricas y equipo de iluminación,4 digitos,C7
3190,Fabricación  de equipo eléctrico n.c.p.,4 digitos,C7
3210,"Fabricación de tubos, válvulas  y otros  componentes electrónicos",4 digitos,C7
3220,Fabricación de transmisores de radio y televisión y de aparatos para telefonía y telegrafía con hilos,4 digitos,C7
3230,"Fabricación de receptores de radio y televisión, aparatos de grabación y reproducción de sonido y video, y productos conexos",4 digitos,C7
3310,"Fabricación de aparatos e instrumentos médicos y de aparatos para medir, verificar, ensayar, navegar y otros fines, excepto instrumentos de óptica",4 digitos,C7
3311,Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos,4 digitos,C7
3320,Fabricación de instrumentos de óptica y equipo fotográfico,4 digitos,C7
3330,Fabricación de relojes,4 digitos,C7
3410,Fabricación de vehículos automotores,4 digitos,C7
3420,Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,4 digitos,C7
3430,Fabricación de partes; piezas y accesorios para vehículos automotores y sus motores,4 digitos,C7
3511,Construcción y reparación de buques,4 digitos,C7
3512,Construcción y reparación de embarcaciones de recreo y deporte,4 digitos,C7
3520,Fabricación de locomotoras y de material rodante para ferrocarriles y tranvías,4 digitos,C7
3530,Fabricación y reparación de aeronaves,4 digitos,C7
3590,"Fabricación de motocicletas, bicicletas y sillones ortopédicos",4 digitos,C7
3599,Fabricación de equipo de transporte n.c.p.,4 digitos,C7
3610,Fabricación de muebles y colchones,4 digitos,C7
3691,Fabricación de joyas y artículos conexos,4 digitos,C7
3692,Fabricación de instrumentos de música,4 digitos,C7
3693,Fabricación de artículos de deporte,4 digitos,C7
3694,Fabricación de juegos y juguetes,4 digitos,C7
3699,Industrias manufactureras n.c.p.,4 digitos,C7
3710,Reciclamiento de desperdicios y desechos metálicos,4 digitos,C7
3720,Reciclamiento de desperdicios y desechos no metálicos,4 digitos,C7
4011,Generación de energía eléctrica,4 digitos,C7
4012,Transporte de energía eléctrica,4 digitos,C7
4013,Distribución de energía eléctrica,4 digitos,C7
4020,Fabricación de gas y distribución de combustibles gaseosos por tuberías,4 digitos,C7
4030,Suministro de vapor y agua caliente,4 digitos,C7
4100,"Captación, depuración y distribución de agua",4 digitos,C7
4511,Demolición y voladura de edificios y de sus partes,4 digitos,C7
4512,"Perforación y sondeo, excepto: perforación de pozos de petróleo, de gas, de minas e hidráulicos  y prospección de yacimientos de petróleo",4 digitos,C7
4519,Movimiento de suelos y preparación de terrenos para obras n.c.p.,4 digitos,C7
4520,Construcción de edificios y sus partes y obras de ingeniería civil,4 digitos,C7
4531,"Ejecución y mantenimiento de instalaciones eléctricas, electromecánicas y electrónicas",4 digitos,C7
4532,"Aislamiento térmico, acústico, hídrico y antivibratorio",4 digitos,C7
4533,"Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos",4 digitos,C7
4539,Instalaciones para edificios y obras de ingeniería civil n.c.p.,4 digitos,C7
4541,"Instalaciones de carpintería, herrería de obra y artística",4 digitos,C7
4542,Terminación y revestimiento de paredes y pisos,4 digitos,C7
4543,Colocación de cristales en obra,4 digitos,C7
4544,Pintura y trabajos de decoración,4 digitos,C7
4549,Terminación de edificios y obras de ingeniería civil n.c.p.,4 digitos,C7
4550,Alquiler de equipo de construcción o demolición dotado de operarios,4 digitos,C7
5011,"Venta de vehículos automotores nuevos, excepto motocicletas",4 digitos,C7
5012,"Venta de vehículos automotores usados, excepto motocicletas",4 digitos,C7
5020,"Mantenimiento y reparación de vehículos automotores, excepto motocicletas",4 digitos,C7
5031,"Venta al por mayor de partes, piezas y accesorios de vehículos automotores",4 digitos,C7
5032,"Venta al por menor de partes, piezas y accesorios de vehículos automotores",4 digitos,C7
5050,Venta al por menor de combustible para vehículos automotores y motocicletas,4 digitos,C7
5111,Venta al por mayor en comisión o consignación de productos agrícolas y pecuarios,4 digitos,C7
5119,Venta al por mayor en comisión o consignación de mercancías n.c.p.,4 digitos,C7
5121,Venta al por mayor de materias primas agropecuarias y de animales vivos,4 digitos,C7
5122,Venta al por mayor de alimentos,4 digitos,C7
5123,Venta al por mayor de bebidas,4 digitos,C7
5124,Venta al por mayor de cigarrillos y productos de tabaco,4 digitos,C7
5131,"Venta al por mayor de productos textiles, prendas de vestir, calzado excepto el ortopédico, cueros, pieles, artículos de marroquinería,  paraguas y similares",4 digitos,C7
5132,"Venta al por mayor de libros, revistas, diarios, papel, cartón, materiales de embalaje y artículos de librería",4 digitos,C7
5133,"Venta al por mayor de productos farmacéuticos, veterinarios, cosméticos y de perfumería, instrumental médico y odontológico y artículos ortopédicos",4 digitos,C7
5134,"Venta al por mayor de artículos de óptica, fotografía, relojería, joyería y fantasías",4 digitos,C7
5135,"Venta al por mayor de muebles, artículos de iluminación y  demás artefactos para el hogar",4 digitos,C7
5139,Venta al por mayor de artículos de uso doméstico y/o personal n.c.p.,4 digitos,C7
5141,"Venta al por mayor de combustibles, incluso gaseosos y productos conexos",4 digitos,C7
5142,Venta al por mayor de metales y minerales metalíferos,4 digitos,C7
5143,"Venta al por mayor de madera,  materiales de construcción, artículos de ferretería y materiales para plomería e instalaciones de  gas",4 digitos,C7
5149,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos",4 digitos,C7
5151,"Venta al por mayor de máquinas, equipos e implementos de uso especial",4 digitos,C7
5152,Venta al por mayor de máquinas-herramienta de uso general,4 digitos,C7
5153,"Venta al por mayor de vehículos, equipos y máquinas para el transporte ferroviario, aéreo y de navegación",4 digitos,C7
5154,"Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios",4 digitos,C7
5159,"Venta al por mayor de máquinas, equipo y materiales conexos n.c.p.",4 digitos,C7
5190,Venta al por mayor de mercancías n.c.p.,4 digitos,C7
5211,Venta al por menor en comercios no especializados con predominio de productos alimenticios y bebidas,4 digitos,C7
5212,"Venta al por menor excepto la especializada, sin predominio de productos alimenticios y bebidas",4 digitos,C7
5221,"Venta al por menor de productos de almacén, fiambrería y dietética",4 digitos,C7
5222,Venta al por menor de carnes rojas y productos de granja y de la caza,4 digitos,C7
5223,"Venta al por menor de frutas, legumbres y hortalizas frescas",4 digitos,C7
5224,Venta al por menor de pan y productos de panadería y confitería,4 digitos,C7
5225,Venta al por menor de bebidas,4 digitos,C7
5229,"Venta al por menor de productos  alimenticios n.c.p. y tabaco, en comercios especializados",4 digitos,C7
