Período,Sector,Remuneracion
Mayo 1998,N,560.0
Mayo 1998,O,515.05
Junio 1998,A,457.5
Junio 1998,B,1005.1
Junio 1998,C,2132.955
Junio 1998,D,902.225
Junio 1998,E,1919.13
Junio 1998,F,466.49
Junio 1998,G,694.13
Junio 1998,H,648.17
Junio 1998,I,1235.66
Junio 1998,J,1734.73
Junio 1998,K,625.21
Junio 1998,M,562.01
Junio 1998,N,819.93
Junio 1998,O,755.6
Julio 1998,A,314.3
Julio 1998,B,780.63
Julio 1998,C,1450.0
Julio 1998,D,618.88
Julio 1998,E,1214.59
Julio 1998,F,350.0
Julio 1998,G,468.3
Julio 1998,H,444.825
Julio 1998,I,831.63
Julio 1998,J,1139.4
Julio 1998,K,433.32
Julio 1998,M,408.5
Julio 1998,N,560.12
Julio 1998,O,516.08
Agosto 1998,A,314.26
Agosto 1998,B,745.69
Agosto 1998,C,1408.72
Agosto 1998,D,600.75
Agosto 1998,E,1232.665
Agosto 1998,F,337.065
Agosto 1998,G,467.76
Agosto 1998,H,450.0
Agosto 1998,I,837.7
Agosto 1998,J,1160.0
Agosto 1998,K,431.57
Agosto 1998,M,407.16
Agosto 1998,N,557.855
Agosto 1998,O,514.46
Septiembre 1998,A,314.36
Septiembre 1998,B,752.62
Septiembre 1998,C,1431.99
Septiembre 1998,D,603.0
Septiembre 1998,E,1293.31
Septiembre 1998,F,343.37
Septiembre 1998,G,473.2
Septiembre 1998,H,437.99
Septiembre 1998,I,830.72
Septiembre 1998,J,1139.45
Septiembre 1998,K,433.12
Septiembre 1998,M,408.52
Septiembre 1998,N,561.305
Septiembre 1998,O,520.93
Octubre 1998,A,316.1
Octubre 1998,B,850.9
Octubre 1998,C,1396.91
Octubre 1998,D,610.06
Octubre 1998,E,1240.735
Octubre 1998,F,348.57
Octubre 1998,G,469.75
Octubre 1998,H,444.15
Octubre 1998,I,843.105
Octubre 1998,J,1126.4
Octubre 1998,K,432.08
Octubre 1998,M,408.5
Octubre 1998,N,561.14
Octubre 1998,O,517.86
Noviembre 1998,A,313.2
Noviembre 1998,B,870.75
Noviembre 1998,C,1400.0
Noviembre 1998,D,596.76
Noviembre 1998,E,1253.03
Noviembre 1998,F,334.5
Noviembre 1998,G,466.25
Noviembre 1998,H,437.55
Noviembre 1998,I,828.33
Noviembre 1998,J,1158.49
Noviembre 1998,K,430.0
Noviembre 1998,M,410.92
Noviembre 1998,N,557.92
Noviembre 1998,O,514.62
Diciembre 1998,A,456.25
Diciembre 1998,B,971.04
Diciembre 1998,C,2096.38
Diciembre 1998,D,937.93
Diciembre 1998,E,1939.28
Diciembre 1998,F,473.84
Diciembre 1998,G,693.0
Diciembre 1998,H,640.06
Diciembre 1998,I,1246.35
Diciembre 1998,J,1769.975
Diciembre 1998,K,621.24
Diciembre 1998,M,581.605
