Sector,Período,Empleo
5,4º Trim 2014,12855.0
5,1º Trim 2015,12915.0
5,2º Trim 2015,13198.0
5,3º Trim 2015,12727.0
5,4º Trim 2015,12801.0
5,1º Trim 2016,12924.0
5,2º Trim 2016,12056.0
5,3º Trim 2016,11778.0
5,4º Trim 2016,11775.0
5,1º Trim 2017,12268.0
5,2º Trim 2017,12114.0
5,3º Trim 2017,12140.0
5,4º Trim 2017,11998.0
5,1º Trim 2018,12520.0
5,2º Trim 2018,12028.0
5,3º Trim 2018,12576.0
5,4º Trim 2018,12500.0
5,1º Trim 2019,13251.0
5,2º Trim 2019,12043.0
5,3º Trim 2019,12577.0
5,4º Trim 2019,11915.0
5,1º Trim 2020,12429.0
5,2º Trim 2020,11807.0
5,3º Trim 2020,12172.0
5,4º Trim 2020,11818.0
5,1º Trim 2021,13041.0
5,2º Trim 2021,12729.0
5,3º Trim 2021,13134.0
5,4º Trim 2021,11800.0
5,1º Trim 2022,13119.0
5,2º Trim 2022,12992.0
5,3º Trim 2022,12775.0
5,4º Trim 2022,11624.0
5,1º Trim 2023,12977.0
5,2º Trim 2023,12630.0
5,3º Trim 2023,13240.0
5,4º Trim 2023,11624.0
5,1º Trim 2024,13310.0
5,2º Trim 2024,13068.0
5,3º Trim 2024,13075.0
5,4º Trim 2024,12708.0
5,1º Trim 2025,14350.0
5,2º Trim 2025,12901.0
11,1º Trim 1996,22999.0
11,2º Trim 1996,23619.0
11,3º Trim 1996,23908.0
11,4º Trim 1996,25560.0
11,1º Trim 1997,25560.0
11,2º Trim 1997,26364.0
11,3º Trim 1997,26312.0
11,4º Trim 1997,26018.0
11,1º Trim 1998,26968.0
11,2º Trim 1998,27188.0
11,3º Trim 1998,27005.0
11,4º Trim 1998,25420.0
11,1º Trim 1999,23926.0
11,2º Trim 1999,23847.0
11,3º Trim 1999,24352.0
11,4º Trim 1999,24941.0
11,1º Trim 2000,25956.0
11,2º Trim 2000,26602.0
11,3º Trim 2000,26776.0
11,4º Trim 2000,26509.0
11,1º Trim 2001,27723.0
11,2º Trim 2001,28437.0
11,3º Trim 2001,27779.0
11,4º Trim 2001,27429.0
11,1º Trim 2002,26847.0
11,2º Trim 2002,26469.0
11,3º Trim 2002,26495.0
11,4º Trim 2002,27217.0
11,1º Trim 2003,28185.0
11,2º Trim 2003,29333.0
11,3º Trim 2003,30189.0
11,4º Trim 2003,30866.0
11,1º Trim 2004,32307.0
11,2º Trim 2004,32926.0
11,3º Trim 2004,33783.0
11,4º Trim 2004,34984.0
11,1º Trim 2005,36037.0
11,2º Trim 2005,37658.0
11,3º Trim 2005,38090.0
11,4º Trim 2005,38841.0
11,1º Trim 2006,40417.0
11,2º Trim 2006,40722.0
11,3º Trim 2006,41374.0
11,4º Trim 2006,42971.0
11,1º Trim 2007,44736.0
11,2º Trim 2007,45873.0
11,3º Trim 2007,47210.0
11,4º Trim 2007,48757.0
11,1º Trim 2008,50100.0
11,2º Trim 2008,50823.0
11,3º Trim 2008,51473.0
11,4º Trim 2008,51945.0
11,1º Trim 2009,51142.0
11,2º Trim 2009,49987.0
11,3º Trim 2009,49436.0
11,4º Trim 2009,49238.0
11,1º Trim 2010,49782.0
11,2º Trim 2010,50113.0
11,3º Trim 2010,51021.0
11,4º Trim 2010,51622.0
11,1º Trim 2011,51927.0
11,2º Trim 2011,52032.0
11,3º Trim 2011,53036.0
11,4º Trim 2011,54070.0
11,1º Trim 2012,55018.0
11,2º Trim 2012,55261.0
11,3º Trim 2012,55664.0
11,4º Trim 2012,56226.0
11,1º Trim 2013,57049.0
11,2º Trim 2013,57684.0
11,3º Trim 2013,59005.0
11,4º Trim 2013,60832.0
11,1º Trim 2014,62862.0
11,2º Trim 2014,63866.0
11,3º Trim 2014,64981.0
11,4º Trim 2014,66524.0
11,1º Trim 2015,68038.0
11,2º Trim 2015,67804.0
11,3º Trim 2015,67501.0
11,4º Trim 2015,66897.0
11,1º Trim 2016,65776.0
11,2º Trim 2016,63830.0
11,3º Trim 2016,62700.0
11,4º Trim 2016,61803.0
11,1º Trim 2017,60215.0
11,2º Trim 2017,59083.0
11,3º Trim 2017,58880.0
11,4º Trim 2017,58618.0
11,1º Trim 2018,58488.0
11,2º Trim 2018,61985.0
11,3º Trim 2018,62654.0
11,4º Trim 2018,63928.0
11,1º Trim 2019,65104.0
11,2º Trim 2019,66437.0
11,3º Trim 2019,67477.0
11,4º Trim 2019,67134.0
11,1º Trim 2020,66178.0
11,2º Trim 2020,64390.0
11,3º Trim 2020,61694.0
11,4º Trim 2020,59819.0
11,1º Trim 2021,60995.0
11,2º Trim 2021,61655.0
11,3º Trim 2021,62070.0
11,4º Trim 2021,62554.0
11,1º Trim 2022,63532.0
11,2º Trim 2022,64240.0
11,3º Trim 2022,65379.0
11,4º Trim 2022,66772.0
11,1º Trim 2023,68238.0
11,2º Trim 2023,69157.0
11,3º Trim 2023,70195.0
11,4º Trim 2023,70781.0
11,1º Trim 2024,71878.0
11,2º Trim 2024,72101.0
11,3º Trim 2024,72160.0
11,4º Trim 2024,71547.0
11,1º Trim 2025,69986.0
11,2º Trim 2025,66611.0
13,1º Trim 1996,2426.0
13,2º Trim 1996,2502.0
13,3º Trim 1996,2486.0
13,4º Trim 1996,2506.0
13,1º Trim 1997,2654.0
13,2º Trim 1997,2746.0
13,3º Trim 1997,2817.0
13,4º Trim 1997,2951.0
13,1º Trim 1998,2993.0
13,2º Trim 1998,3142.0
13,3º Trim 1998,3123.0
13,4º Trim 1998,3130.0
13,1º Trim 1999,3082.0
13,2º Trim 1999,3077.0
13,3º Trim 1999,3042.0
13,4º Trim 1999,3131.0
13,1º Trim 2000,3189.0
13,2º Trim 2000,3095.0
13,3º Trim 2000,3041.0
13,4º Trim 2000,3151.0
13,1º Trim 2001,3140.0
13,2º Trim 2001,3045.0
13,3º Trim 2001,3082.0
13,4º Trim 2001,3174.0
13,1º Trim 2002,3288.0
13,2º Trim 2002,2510.0
13,3º Trim 2002,2470.0
13,4º Trim 2002,2540.0
13,1º Trim 2003,2696.0
13,2º Trim 2003,2752.0
13,3º Trim 2003,2755.0
13,4º Trim 2003,2837.0
13,1º Trim 2004,2979.0
13,2º Trim 2004,3095.0
13,3º Trim 2004,3308.0
13,4º Trim 2004,3497.0
13,1º Trim 2005,3757.0
13,2º Trim 2005,4201.0
13,3º Trim 2005,4391.0
13,4º Trim 2005,4481.0
13,1º Trim 2006,4730.0
13,2º Trim 2006,4901.0
