Período,IPC
Julio 2024,8368.07809815833
Agosto 2024,8723.923520910263
Septiembre 2024,9008.647062921971
Octubre 2024,9225.58362442922
Noviembre 2024,9477.124011337111
Diciembre 2024,9764.859801137774
Enero 2025,9981.86694121418
Febrero 2025,10284.113161138304
Marzo 2025,10617.908060181018
Abril 2025,10897.7013527993
Mayo 2025,11087.670153858133
Junio 2025,11298.530515962171
Julio 2025,11576.849213769752
Agosto 2025,11862.023785218587
Septiembre 2025,12154.223112255006
Octubre 2025,12453.620236924144
Noviembre 2025,12760.392463846403
Diciembre 2025,13074.721465218225
