Período,Tasa_Entrada,Tasa_Salida,Tasa_Rotacion
1º Trim 2019,4.796811796644375,4.679890934687176,9.476702731331551
2º Trim 2019,4.16811670393571,5.612770323969177,9.780887027904887
3º Trim 2019,3.649163560696168,4.255790017357016,7.904953578053184
4º Trim 2019,3.896320634257017,4.489953054252461,8.386273688509478
1º Trim 2020,4.359776294832261,4.677527215321706,9.037303510153965
2º Trim 2020,2.283058082178995,6.473170906025599,8.756228988204594
3º Trim 2020,2.854310803204979,3.2109727422177525,6.065283545422732
4º Trim 2020,3.8273200542827914,2.991058473842914,6.818378528125706
1º Trim 2021,4.6578689767113755,3.2527671832416942,7.910636159953071
2º Trim 2021,4.00259921511386,3.9680603837363395,7.970659598850199
3º Trim 2021,3.7158859897457286,3.3288995622508,7.044785551996529
4º Trim 2021,4.7576981203880795,3.0708311402594446,7.828529260647524
1º Trim 2022,5.3289950728615585,3.2781368345242674,8.607131907385826
2º Trim 2022,4.741528371261055,4.322124462042975,9.063652833304031
3º Trim 2022,4.357735361711924,3.366145161878701,7.723880523590626
4º Trim 2022,4.532328411681004,3.2991445886990265,7.831473000380031
1º Trim 2023,5.067925078454386,3.5713791331213725,8.639304211575759
2º Trim 2023,4.40531368765093,4.523425450482628,8.928739138133556
3º Trim 2023,3.979228189584385,3.5396980433914003,7.518926232975785
4º Trim 2023,3.7303853212626867,3.8334197831456662,7.5638051044083525
1º Trim 2024,4.103424438411379,4.713784504429494,8.817208942840873
2º Trim 2024,3.4812525476581415,5.300333144874368,8.78158569253251
3º Trim 2024,3.37443534887987,3.5929340617830605,6.96736941066293
4º Trim 2024,4.142408511030369,3.292059319230049,7.4344678302604175
1º Trim 2025,4.35391908940253,3.7947014883416266,8.148620577744156
2º Trim 2025,4.010016673441315,4.929097346599236,8.939114020040552
