Período,Sector,Altas,Bajas,Creacion_Neta
1º Trim 2007,B,508.0,1989.0,-1481.0
2º Trim 2007,B,491.0,1307.0,-816.0
1º Trim 2008,B,1182.0,875.0,307.0
1º Trim 2008,B,1573.0,563.0,1010.0
1º Trim 2008,B,456.0,1260.0,-804.0
2º Trim 2008,B,629.0,1618.0,-989.0
1º Trim 2009,B,993.0,712.0,281.0
1º Trim 2009,B,902.0,631.0,271.0
1º Trim 2009,B,469.0,1135.0,-666.0
2º Trim 2009,B,427.0,1000.0,-573.0
1º Trim 2010,B,1146.0,549.0,597.0
1º Trim 2010,B,595.0,825.0,-230.0
1º Trim 2010,B,1040.0,438.0,602.0
2º Trim 2010,B,548.0,1415.0,-867.0
1º Trim 2011,B,1398.0,411.0,987.0
1º Trim 2011,B,1045.0,930.0,115.0
1º Trim 2011,B,721.0,684.0,37.0
2º Trim 2011,B,590.0,1292.0,-702.0
1º Trim 2012,B,995.0,805.0,190.0
1º Trim 2012,B,872.0,1241.0,-369.0
1º Trim 2012,B,603.0,1322.0,-719.0
2º Trim 2012,B,816.0,1097.0,-281.0
1º Trim 2013,B,1049.0,782.0,267.0
1º Trim 2013,B,1186.0,810.0,376.0
1º Trim 2013,B,809.0,1124.0,-315.0
2º Trim 2013,B,1154.0,904.0,250.0
1º Trim 2014,B,920.0,1380.0,-460.0
1º Trim 2014,B,1377.0,972.0,405.0
1º Trim 2014,B,867.0,1041.0,-174.0
2º Trim 2014,B,915.0,948.0,-33.0
1º Trim 2015,B,1108.0,1048.0,60.0
1º Trim 2015,B,1310.0,1027.0,283.0
1º Trim 2015,B,799.0,1270.0,-471.0
2º Trim 2015,B,805.0,731.0,74.0
1º Trim 2016,B,1252.0,1129.0,123.0
1º Trim 2016,B,1203.0,2071.0,-868.0
1º Trim 2016,B,897.0,1175.0,-278.0
2º Trim 2016,B,823.0,826.0,-3.0
1º Trim 2017,B,1518.0,1025.0,493.0
1º Trim 2017,B,1074.0,1228.0,-154.0
1º Trim 2017,B,1159.0,1133.0,26.0
2º Trim 2017,B,832.0,974.0,-142.0
1º Trim 2018,B,1616.0,1094.0,522.0
1º Trim 2018,B,932.0,1424.0,-492.0
1º Trim 2018,B,1521.0,973.0,548.0
2º Trim 2018,B,765.0,841.0,-76.0
1º Trim 2019,B,2064.0,1313.0,751.0
1º Trim 2019,B,891.0,2099.0,-1208.0
1º Trim 2019,B,1404.0,870.0,534.0
2º Trim 2019,B,726.0,1388.0,-662.0
1º Trim 2020,B,1728.0,1214.0,514.0
1º Trim 2020,B,833.0,1455.0,-622.0
1º Trim 2020,B,1445.0,1080.0,365.0
2º Trim 2020,B,710.0,1064.0,-354.0
1º Trim 2021,B,2078.0,855.0,1223.0
1º Trim 2021,B,1285.0,1597.0,-312.0
1º Trim 2021,B,1469.0,1064.0,405.0
2º Trim 2021,B,624.0,1958.0,-1334.0
1º Trim 2022,B,1976.0,657.0,1319.0
1º Trim 2022,B,1221.0,1348.0,-127.0
1º Trim 2022,B,1334.0,1551.0,-217.0
2º Trim 2022,B,724.0,1875.0,-1151.0
1º Trim 2023,B,2055.0,702.0,1353.0
1º Trim 2023,B,1267.0,1614.0,-347.0
1º Trim 2023,B,1288.0,678.0,610.0
2º Trim 2023,B,581.0,2197.0,-1616.0
1º Trim 2024,B,2106.0,420.0,1686.0
1º Trim 2024,B,1173.0,1415.0,-242.0
1º Trim 2024,B,1491.0,1484.0,7.0
